time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,rain_sum,degree_days,temp_7day_avg,temp_14day_avg,degree_days_14day_sum,humidity_7day_avg,outbreak
2023-01-01,38.8,19.4,27.8,44,0.0,17.8,27.8,27.8,17.8,44.0,0
2023-01-02,36.3,21.4,28.8,46,0.0,18.8,28.3,28.3,36.6,45.0,0
2023-01-03,32.9,17.6,23.6,61,1.1,13.6,26.733333333333334,26.733333333333334,50.2,50.333333333333336,0
2023-01-04,22.5,15.6,19.0,72,3.1,9.0,24.8,24.8,59.2,55.75,0
2023-01-05,23.1,14.7,18.1,54,0.1,8.100000000000001,23.46,23.46,67.3,55.4,0
2023-01-06,28.6,14.7,21.0,51,0.0,11.0,23.05,23.05,78.3,54.666666666666664,0
2023-01-07,33.0,14.4,23.9,47,0.0,13.9,23.17142857142857,23.17142857142857,92.2,53.57142857142857,0
2023-01-08,33.1,16.2,24.5,52,0.0,14.5,22.699999999999996,23.3375,106.7,54.714285714285715,1
2023-01-09,31.7,15.1,22.2,70,0.0,12.2,21.75714285714286,23.211111111111112,118.9,58.142857142857146,1
2023-01-10,28.8,17.6,21.5,68,0.0,11.5,21.457142857142856,23.04,130.4,59.142857142857146,1
2023-01-11,29.2,14.2,22.7,53,0.0,12.7,21.985714285714284,23.009090909090908,143.1,56.42857142857143,1
2023-01-12,25.7,18.0,22.3,60,0.3,12.3,22.585714285714285,22.95,155.4,57.285714285714285,1
2023-01-13,27.3,13.7,20.8,61,0.1,10.8,22.557142857142853,22.784615384615385,166.2,58.714285714285715,1
2023-01-14,31.7,16.3,22.8,57,0.3,12.8,22.400000000000002,22.785714285714285,179.0,60.142857142857146,1
2023-01-15,31.8,18.3,24.1,56,0.0,14.1,22.342857142857145,22.521428571428572,175.29999999999998,60.714285714285715,1
2023-01-16,37.8,20.9,28.2,52,0.0,18.2,23.2,22.478571428571428,174.70000000000002,58.142857142857146,1
2023-01-17,35.7,20.6,28.2,56,0.0,18.2,24.157142857142855,22.807142857142857,179.3,56.42857142857143,1
2023-01-18,33.8,20.0,25.7,59,0.1,15.7,24.58571428571429,23.285714285714285,186.0,57.285714285714285,1
2023-01-19,28.2,19.1,22.5,67,0.2,12.5,24.614285714285717,23.599999999999998,190.39999999999998,58.285714285714285,1
2023-01-20,28.7,15.6,21.6,69,0.0,11.6,24.728571428571428,23.642857142857142,191.0,59.42857142857143,1
2023-01-21,29.7,17.1,22.0,68,0.0,12.0,24.614285714285717,23.50714285714286,189.10000000000002,61.0,1
2023-01-22,27.6,16.8,22.1,66,0.0,12.1,24.32857142857143,23.33571428571429,186.70000000000002,62.42857142857143,1
2023-01-23,30.9,16.3,22.6,60,0.0,12.6,23.52857142857143,23.364285714285717,187.1,63.57142857142857,1
2023-01-24,21.1,15.0,17.6,70,6.8,7.600000000000001,22.014285714285716,23.08571428571429,183.2,65.57142857142857,1
2023-01-25,28.8,12.0,19.7,51,0.0,9.7,21.157142857142862,22.87142857142857,180.20000000000002,64.42857142857143,1
2023-01-26,29.9,12.2,21.1,62,0.0,11.1,20.95714285714286,22.78571428571429,179.0,63.714285714285715,1
2023-01-27,29.4,15.2,22.1,65,0.0,12.1,21.028571428571432,22.87857142857143,180.29999999999998,63.142857142857146,1
2023-01-28,24.0,16.5,19.8,67,0.9,9.8,20.714285714285715,22.664285714285715,177.3,63.0,1
2023-01-29,29.4,15.5,21.3,46,0.0,11.3,20.6,22.464285714285715,174.5,60.142857142857146,1
2023-01-30,33.1,17.4,24.0,46,0.0,14.0,20.800000000000004,22.164285714285715,170.29999999999998,58.142857142857146,1
2023-01-31,33.7,18.2,25.6,49,0.0,15.6,21.942857142857143,21.978571428571428,167.7,55.142857142857146,1
2023-02-01,26.5,17.4,21.9,70,0.0,11.9,22.25714285714286,21.70714285714286,163.9,57.857142857142854,1
2023-02-02,26.3,16.5,20.9,67,0.0,10.9,22.228571428571428,21.592857142857145,162.29999999999998,58.57142857142857,1
2023-02-03,34.6,12.9,23.7,53,0.0,13.7,22.45714285714286,21.74285714285714,164.39999999999998,56.857142857142854,1
2023-02-04,34.5,17.8,24.7,53,0.0,14.7,23.157142857142855,21.935714285714287,167.1,54.857142857142854,1
2023-02-05,26.0,20.2,22.6,77,0.0,12.6,23.342857142857138,21.971428571428568,167.6,59.285714285714285,1
