event_date,temp_14d_mean,temp_30d_mean,humidity_14d_mean,vpd_14d_max,soil_temp_14d_mean,soil_moisture_14d_mean,degree_days_30d_sum,rain_14d_sum,outbreak
2025-02-08 14:47:45,21.485714285714284,21.40333333333333,70.28571428571429,3.67,24.914285714285718,0.04328571428571428,342.09999999999997,5.399999999999999,1
2025-02-16 08:31:06,21.085714285714282,21.633333333333336,65.14285714285714,3.42,24.4,0.03907142857142857,348.99999999999994,0.6,1
2025-10-17 12:33:30,16.307142857142857,16.096666666666668,75.35714285714286,2.5,18.057142857142857,0.05264285714285715,182.90000000000003,11.799999999999999,1
2025-12-28 18:08:57,21.228571428571428,20.85,67.64285714285714,3.56,24.72857142857143,0.04014285714285714,325.5,1.0,1
2024-01-02 17:45:37,22.092857142857145,20.733333333333334,67.28571428571429,3.99,24.307142857142857,0.06250000000000001,322.0,1.7000000000000002,1
2023-05-26 11:43:30,13.8,14.753333333333332,78.71428571428571,1.14,14.12857142857143,0.1907142857142857,142.60000000000002,49.6,1
2019-03-12 15:44:57,18.849999999999998,20.226666666666667,79.07142857142857,1.74,20.33571428571429,0.11342857142857143,306.7999999999999,27.9,1
2022-06-23 00:00:00,14.257142857142856,14.706666666666665,75.0,2.68,13.864285714285714,0.23328571428571432,141.2,159.4,0
2025-08-19 00:00:00,12.542857142857143,13.180000000000001,86.57142857142857,0.83,12.35,0.2136428571428571,95.4,31.6,0
2019-07-03 00:00:00,13.707142857142856,13.626666666666667,81.78571428571429,1.77,13.457142857142857,0.22921428571428573,108.8,91.89999999999999,0
2024-06-07 00:00:00,14.700000000000001,15.043333333333333,82.71428571428571,3.17,14.814285714285715,0.1519285714285714,151.3,42.0,0
2022-06-27 00:00:00,13.62857142857143,14.649999999999999,77.64285714285714,1.69,13.242857142857142,0.25892857142857145,139.5,73.10000000000001,0
2021-08-23 00:00:00,12.72857142857143,13.20666666666667,75.85714285714286,1.54,12.214285714285714,0.23800000000000004,96.19999999999997,19.7,0
2021-07-03 00:00:00,14.307142857142855,14.750000000000002,80.64285714285714,1.82,13.985714285714284,0.2585714285714286,142.49999999999997,162.9,0
