event_date,temp_14d_mean,temp_30d_mean,humidity_14d_mean,vpd_14d_max,soil_temp_14d_mean,soil_moisture_14d_mean,degree_days_30d_sum,rain_14d_sum,outbreak
2025-02-15 11:34:00,10.65,9.813333333333333,73.14285714285714,1.63,11.221428571428572,0.19935714285714284,24.4,77.3,1
2025-03-09 14:27:00,12.078571428571427,11.116666666666669,73.0,2.27,12.714285714285714,0.2197142857142857,47.79999999999999,35.2,1
2025-03-30 17:04:00,14.535714285714288,12.53,69.71428571428571,2.45,15.285714285714286,0.22535714285714287,83.8,25.700000000000003,1
2025-04-25 20:41:00,19.671428571428574,17.506666666666668,46.57142857142857,3.58,22.63571428571428,0.08971428571428572,226.00000000000003,0.5,1
2025-05-04 13:39:00,19.285714285714285,19.226666666666667,48.92857142857143,3.8,22.442857142857143,0.10014285714285713,276.8,2.9,1
2025-05-01 14:04:00,19.228571428571428,18.426666666666666,47.785714285714285,3.58,22.37857142857143,0.08899999999999998,253.2,2.0,1
2025-05-05 19:40:00,19.12857142857143,19.396666666666665,50.357142857142854,3.8,22.135714285714283,0.10592857142857141,281.90000000000003,2.9,1
2025-05-10 17:12:00,21.885714285714283,20.533333333333335,46.42857142857143,5.61,24.264285714285712,0.10707142857142857,315.99999999999994,2.0,1
2025-05-06 11:29:00,19.08571428571429,19.59333333333333,50.5,3.8,21.957142857142856,0.10771428571428572,287.80000000000007,2.9,1
2025-05-19 18:00:00,23.25714285714286,21.220000000000002,35.42857142857143,5.61,26.542857142857144,0.08835714285714284,336.6000000000001,0.5,1
2025-05-05 23:25:00,19.12857142857143,19.396666666666665,50.357142857142854,3.8,22.135714285714283,0.10592857142857141,281.90000000000003,2.9,1
2025-06-21 13:58:00,27.878571428571426,27.399999999999995,25.714285714285715,6.44,31.878571428571426,0.08578571428571427,522.0,0.0,1
2025-06-28 16:34:00,27.857142857142865,28.45,24.571428571428573,6.67,31.592857142857145,0.08578571428571427,553.5,0.0,1
2025-06-28 16:04:00,27.857142857142865,28.45,24.571428571428573,6.67,31.592857142857145,0.08578571428571427,553.5,0.0,1
2025-09-27 09:24:00,27.321428571428573,27.853333333333335,41.285714285714285,5.97,29.65,0.08035714285714284,535.6,4.2,1
2025-09-05 15:38:00,31.53571428571429,31.03333333333334,28.071428571428573,7.43,33.97857142857143,0.08864285714285713,631.0,0.0,1
2025-10-11 09:53:00,22.1,24.800000000000004,49.642857142857146,3.96,25.12857142857143,0.0735,444.00000000000006,1.4,1
2025-10-20 12:07:00,17.942857142857143,21.5,57.857142857142854,3.96,19.792857142857144,0.13821428571428573,345.0,18.0,1
2025-10-28 16:18:00,16.835714285714285,18.856666666666666,69.64285714285714,2.65,17.849999999999998,0.13492857142857143,265.7,3.7,1
2025-11-20 14:41:00,14.857142857142858,16.103333333333335,80.28571428571429,1.94,15.578571428571431,0.23778571428571432,183.1,82.4,1
2025-12-21 15:00:00,7.2857142857142865,7.383333333333335,90.14285714285714,0.69,8.114285714285716,0.20335714285714285,6.800000000000001,1.5,1
2024-03-10 21:40:00,11.27142857142857,10.830000000000002,76.92857142857143,1.17,12.828571428571433,0.33885714285714286,36.60000000000001,48.800000000000004,1
2024-04-28 08:38:00,17.60714285714286,15.113333333333335,64.85714285714286,2.91,20.36428571428571,0.1987142857142857,157.60000000000002,0.6,1
2024-05-04 13:45:00,18.014285714285712,16.103333333333335,55.07142857142857,2.91,21.485714285714288,0.15178571428571427,187.2,9.6,1
2024-06-02 14:43:00,23.37857142857143,22.09,35.785714285714285,5.27,28.471428571428568,0.12585714285714286,362.7,0.0,1
2024-09-20 12:48:00,25.37142857142857,27.026666666666664,35.857142857142854,7.08,30.092857142857138,0.12371428571428573,510.79999999999995,0.3,1
2024-10-05 12:06:00,27.36428571428571,26.533333333333335,31.142857142857142,7.28,30.099999999999998,0.12835714285714286,495.99999999999994,0.0,1
2024-11-13 10:03:00,12.650000000000002,15.510000000000002,57.214285714285715,2.19,14.992857142857144,0.1471428571428571,165.3,5.5,1
2024-12-07 12:07:00,10.264285714285716,11.076666666666664,85.5,0.8,10.828571428571431,0.23842857142857138,42.20000000000002,35.699999999999996,1
2023-02-17 13:46:00,7.992857142857142,7.1866666666666665,74.64285714285714,1.25,9.542857142857143,0.30785714285714283,0.9999999999999982,29.8,1
